type,count,Source,DataType,col
INFP,916,Kaggle,Train,0.0
INFJ,735,Kaggle,Train,0.0
INTP,652,Kaggle,Train,0.0
INTJ,545,Kaggle,Train,0.0
ENTP,343,Kaggle,Train,0.0
ENFP,338,Kaggle,Train,0.0
ISTP,169,Kaggle,Train,0.0
ISFP,136,Kaggle,Train,0.0
ENTJ,115,Kaggle,Train,0.0
ISTJ,102,Kaggle,Train,0.0
ENFJ,95,Kaggle,Train,0.0
ISFJ,83,Kaggle,Train,0.0
ESTP,45,Kaggle,Train,0.0
ESFP,24,Kaggle,Train,0.0
ESFJ,21,Kaggle,Train,0.0
ESTJ,19,Kaggle,Train,0.0
ESTJ,181,ChatGpt,Train,
ESFJ,179,ChatGpt,Train,
ESFP,176,ChatGpt,Train,
ESTP,155,ChatGpt,Train,
INFP,916,Kaggle,Test,0.0
INFJ,735,Kaggle,Test,0.0
INTP,652,Kaggle,Test,0.0
INTJ,546,Kaggle,Test,0.0
ENTP,342,Kaggle,Test,0.0
ENFP,337,Kaggle,Test,0.0
ISTP,168,Kaggle,Test,0.0
ISFP,135,Kaggle,Test,0.0
ENTJ,116,Kaggle,Test,0.0
ISTJ,103,Kaggle,Test,0.0
ENFJ,95,Kaggle,Test,0.0
ISFJ,83,Kaggle,Test,0.0
ESTP,44,Kaggle,Test,0.0
ESFP,24,Kaggle,Test,0.0
ESFJ,21,Kaggle,Test,0.0
ESTJ,20,Kaggle,Test,0.0
