type,count,Source,DataType,col,Setting
INTP,652,Kaggle,Train,0,Real
ISTP,168,Kaggle,Train,0,Real
ISFP,135,Kaggle,Train,0,Real
ISTJ,103,Kaggle,Train,0,Real
ESTP,45,Kaggle,Train,0,Real
ENFJ,1,Kaggle,Train,0,Real
ENFJ,140,Kaggle,Train,0,Real
INTP,652,Kaggle,Test,0,Real
ISTP,168,Kaggle,Test,0,Real
ISFP,135,Kaggle,Test,0,Real
ISTJ,103,Kaggle,Test,0,Real
ESTP,45,Kaggle,Test,0,Real
ENFJ,40,Kaggle,Test,0,Real
INTP,652,Kaggle,Train,0,Synthetic
ISTP,168,Kaggle,Train,0,Synthetic
ISFP,135,Kaggle,Train,0,Synthetic
ISTJ,103,Kaggle,Train,0,Synthetic
ESTP,45,Kaggle,Train,0,Synthetic
ENFJ,1,Kaggle,Train,0,Synthetic
ENFJ,140,ChatGPT,Train,1,Synthetic
INTP,652,Kaggle,Test,0,Synthetic
ISTP,168,Kaggle,Test,0,Synthetic
ISFP,135,Kaggle,Test,0,Synthetic
ISTJ,103,Kaggle,Test,0,Synthetic
ESTP,45,Kaggle,Test,0,Synthetic
ENFJ,40,Kaggle,Test,0,Synthetic
